filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
sample1-0.fast5	46fd62b5-a909-4efa-9ce3-982e4782f6be	01c601ade41551939fc3d763b24f095a94439087	0	83	4	58463.451195	21.531873	6485	TRUE	58463.824369	6373	21.158699	1139	11.872043	0.000000	100.102325	13.918722	100.102325	13.918722
sample1-0.fast5	4a3564cc-c403-4071-a276-d5a0cd2b300c	01c601ade41551939fc3d763b24f095a94439087	0	15	4	4127.459163	41.943891	12633	TRUE	4127.944887	12487	41.458167	2864	10.240489	0.000000	99.539955	12.372198	99.539955	12.372198
sample1-0.fast5	62c2f1b3-466b-477d-af27-252d7a0eed1b	01c601ade41551939fc3d763b24f095a94439087	0	172	4	64798.231408	17.688247	5327	TRUE	64800.360226	4686	15.559429	530	7.344160	0.000000	106.147835	10.263300	106.147835	10.263300
sample1-0.fast5	a0ddb1a1-848a-4a6a-acf0-378f979ef885	01c601ade41551939fc3d763b24f095a94439087	0	454	2	6647.776892	13.716135	4131	FALSE	6650.084993	3436	11.408035	331	6.029213	0.000000	83.512337	13.918722	83.512337	13.918722
sample1-0.fast5	caeb98cf-28d5-4731-9139-ab776557356d	01c601ade41551939fc3d763b24f095a94439087	0	182	3	29785.962815	24.830345	7478	TRUE	29788.245352	6791	22.547809	792	8.716729	0.000000	98.836990	13.637536	98.836990	13.637536
sample1-0.fast5	46af9a8a-b04f-41c4-83a6-017b63afeca1	01c601ade41551939fc3d763b24f095a94439087	0	14	3	3212.088313	7.063413	2127	TRUE	3213.627822	1663	5.523904	354	9.566813	0.000000	99.258766	12.372198	99.258766	12.372198
sample1-0.fast5	5c71cbe5-cedd-4979-84a5-2ea4d9c80bc5	01c601ade41551939fc3d763b24f095a94439087	0	24	3	12624.956175	32.644422	9832	TRUE	12629.424635	8486	28.175963	1702	12.899081	0.000000	94.619194	14.059316	94.619194	14.059316
sample1-0.fast5	60c4e4dd-03fa-4785-89bb-1da5aa721d03	01c601ade41551939fc3d763b24f095a94439087	0	55	4	66269.933599	39.341965	11849	TRUE	66271.966467	11237	37.309097	2480	10.968359	0.000000	108.819099	14.199909	108.819099	14.199909
sample1-0.fast5	646aa9e0-0ff1-462f-a972-98890a8a4609	01c601ade41551939fc3d763b24f095a94439087	0	438	4	9271.776228	12.488048	3761	FALSE	9273.523240	3235	10.741036	525	6.972671	0.000000	97.290466	13.496943	97.290466	13.496943
sample1-0.fast5	664dee46-f080-4f5c-b67d-c6f92c324dcf	01c601ade41551939fc3d763b24f095a94439087	0	121	2	92119.618526	8.603918	2591	TRUE	92119.872178	2515	8.350266	337	8.815619	0.000000	86.745979	12.934570	86.745979	12.934570
sample1-0.fast5	6834e24b-8fb8-437f-a9aa-ee985ad8c561	01c601ade41551939fc3d763b24f095a94439087	0	64	4	39338.813413	14.040837	4229	TRUE	39339.050465	4157	13.803785	441	7.975282	0.000000	97.993431	10.966267	97.993431	10.966267
sample1-0.fast5	68e952ce-b024-435f-82bf-82841c79a9bb	01c601ade41551939fc3d763b24f095a94439087	0	333	1	13283.210491	21.271248	6406	TRUE	13283.389442	6353	21.092297	1260	11.584225	0.000000	94.197418	13.356350	94.197418	13.356350
sample1-0.fast5	6dd7424b-ecf9-416d-b9e6-13ada4f0c4e1	01c601ade41551939fc3d763b24f095a94439087	0	152	4	28549.976428	12.241368	3687	TRUE	28550.196879	3620	12.020916	619	7.490616	0.000000	102.070633	8.716776	102.070633	8.716776
sample1-0.fast5	cbd51263-207b-4498-a699-dd421f1bfd82	01c601ade41551939fc3d763b24f095a94439087	0	206	1	6961.456175	49.015604	14763	TRUE	6961.456175	14763	49.015604	2938	11.262375	0.000000	98.274612	13.356350	98.274612	13.356350
